date,group,home,away,status,real_score,exact_score,exact_prob,alt_scores,p_home,p_draw,p_away,xg_home,xg_away,scorer_home,scorer_away,result
2026-06-11,A,Mexico,South Africa,JUGADO,2-0,2-0,13.9,3-0 (13%)  ·  4-0 (10%),85.3,10.9,3.8,2.9,0.51,"Raúl Jiménez, César Montes","Lyle Foster, Oswin Appollis",Victoria Mexico 2-0
2026-06-11,A,South Korea,Czech Republic,JUGADO,2-1,1-1,12.9,1-0 (12%)  ·  2-0 (10%),49.7,27.1,23.2,1.53,0.96,"Son Heung-min, Lee Kang-in","Patrik Schick, Tomáš Souček",Empate 1-1
2026-06-12,B,Canada,Bosnia and Herzegovina,JUGADO,1-1,2-0,13.7,1-0 (12%)  ·  3-0 (10%),72.1,18.5,9.3,2.21,0.67,"Jonathan David, Tajon Buchanan","Edin Džeko, Ermedin Demirović",Victoria Canada 2-0
2026-06-12,D,United States,Paraguay,JUGADO,4-1,1-1,12.4,1-0 (12%)  ·  2-0 (11%),53.7,26.0,20.3,1.63,0.91,"Jesús Ferreira, Folarin Balogun","Julio Enciso, Antonio Sanabria",Empate 1-1
2026-06-13,B,Qatar,Switzerland,pendiente,,0-2,14.2,0-3 (12%)  ·  0-1 (11%),5.6,13.8,80.6,0.57,2.6,"Almoez Ali, Akram Afif","Breel Embolo, Zeki Amdouni",Victoria Switzerland 2-0 (visitante)
2026-06-13,C,Brazil,Morocco,pendiente,,1-1,13.3,1-0 (11%)  ·  0-0 (9%),45.0,28.1,26.9,1.42,1.04,"Raphinha, Vinícius Júnior","Ayoub El Kaabi, Brahim Díaz",Empate 1-1
2026-06-13,C,Haiti,Scotland,pendiente,,1-1,12.3,0-1 (12%)  ·  0-2 (11%),20.1,26.0,54.0,0.9,1.63,"Duckens Nazon, Frantzdy Pierrot","Scott McTominay, John McGinn",Empate 1-1
2026-06-13,D,Australia,Turkey,pendiente,,1-1,13.3,0-1 (11%)  ·  0-0 (9%),26.8,28.1,45.2,1.04,1.42,"Jackson Irvine, Craig Goodwin","Kerem Aktürkoğlu, Hakan Çalhanoğlu",Empate 1-1
2026-06-14,E,Germany,Curaçao,pendiente,,2-0,14.1,3-0 (13%)  ·  1-0 (10%),83.1,12.3,4.6,2.75,0.54,"Florian Wirtz, Kai Havertz","Gervane Kastaneer, Kenji Gorré",Victoria Germany 2-0
2026-06-14,E,Ivory Coast,Ecuador,pendiente,,0-1,12.5,0-2 (12%)  ·  1-1 (12%),16.8,24.3,58.8,0.83,1.77,"Franck Kessié, Amad Diallo","Enner Valencia, Félix Torres",Victoria Ecuador 1-0 (visitante)
2026-06-14,F,Netherlands,Japan,pendiente,,1-1,13.6,1-0 (11%)  ·  0-0 (9%),39.7,28.8,31.5,1.3,1.13,"Cody Gakpo, Memphis Depay","Ayase Ueda, Takumi Minamino",Empate 1-1
2026-06-14,F,Sweden,Tunisia,pendiente,,1-1,13.6,1-0 (11%)  ·  0-0 (9%),41.5,28.6,29.9,1.34,1.1,"Viktor Gyökeres, Alexander Isak","Mohamed Ali Ben Romdhane, Elias Achouri",Empate 1-1
2026-06-15,G,Belgium,Egypt,pendiente,,1-0,12.4,1-1 (12%)  ·  2-0 (11%),57.0,25.0,18.0,1.71,0.86,"Romelu Lukaku, Kevin De Bruyne","Mohamed Salah, Trézéguet",Victoria Belgium 1-0
2026-06-15,G,Iran,New Zealand,pendiente,,1-0,12.3,1-1 (12%)  ·  2-0 (11%),54.3,25.8,19.8,1.64,0.9,"Mehdi Taremi, Sardar Azmoun","Chris Wood, Ben Waine",Victoria Iran 1-0
2026-06-15,H,Spain,Cape Verde,pendiente,,3-0,13.6,4-0 (14%)  ·  5-0 (11%),94.7,4.3,1.0,3.97,0.37,"Mikel Oyarzabal, Mikel Merino","Dailon Livramento, Jamiro Monteiro",Victoria Spain 3-0
