team,attack_index,elo_adj,active_scorers,star,star_goals,star_reliance,top_scorers
Mexico,0.29,-22.0,14,Raúl Jiménez,6,0.22,"Raúl Jiménez (6), César Montes (3), Edson Álvarez (3), Henry Martín (4), Luis Chávez (3)"
South Africa,0.4,-16.6,14,Lyle Foster,4,0.17,"Lyle Foster (4), Oswin Appollis (4), Evidence Makgopa (3), Themba Zwane (3), Teboho Mokoena (2)"
South Korea,0.734,-0.5,19,Son Heung-min,14,0.23,"Son Heung-min (14), Lee Kang-in (8), Oh Hyeon-gyu (5), Hwang Hee-chan (6), Lee Jae-sung (5)"
Czech Republic,0.867,6.0,18,Patrik Schick,7,0.15,"Patrik Schick (7), Tomáš Souček (7), Pavel Šulc (5), Ladislav Krejčí (5), Václav Černý (5)"
Canada,0.408,-16.3,18,Jonathan David,6,0.19,"Jonathan David (6), Tajon Buchanan (4), Cyle Larin (4), Jacob Shaffelburg (3), Nathan Saliba (2)"
Bosnia and Herzegovina,0.714,-1.4,20,Edin Džeko,12,0.32,"Edin Džeko (12), Ermedin Demirović (4), Haris Tabaković (3), Rade Krunić (2), Samed Baždar (1)"
Qatar,0.659,-4.1,18,Almoez Ali,14,0.25,"Almoez Ali (14), Akram Afif (12), Hassan Al-Haydos (4), Ahmed Al-Rawi (3), Lucas Mendes (2)"
Switzerland,0.825,4.0,19,Breel Embolo,11,0.19,"Breel Embolo (11), Zeki Amdouni (9), Remo Freuler (6), Ruben Vargas (5), Granit Xhaka (4)"
Brazil,0.656,-4.2,20,Vinícius Júnior,7,0.16,"Vinícius Júnior (7), Raphinha (7), Richarlison (6), Lucas Paquetá (4), Neymar (5)"
Morocco,0.577,-8.1,19,Ayoub El Kaabi,7,0.15,"Ayoub El Kaabi (7), Brahim Díaz (6), Ismael Saibari (5), Youssef En-Nesyri (6), Azzedine Ounahi (5)"
