team,played,wins,draws,losses,goals_for,goals_against,win_pct,wc_matches,first_match
Brazil,1059,672,216,171,2305,957,63.5,114,1914-09-20
Spain,783,461,182,140,1602,703,58.9,67,1920-08-28
Germany,1031,599,213,219,2320,1198,58.1,112,1908-04-05
England,1090,625,258,207,2381,1041,57.3,74,1872-11-30
Iran,612,349,144,119,1155,483,57.0,18,1941-08-23
Argentina,1069,592,257,220,2028,1075,55.4,88,1902-07-20
South Korea,1008,539,252,217,1794,915,53.5,39,1949-01-02
Czech Republic,361,191,72,98,644,370,52.9,4,1994-02-23
Croatia,396,209,104,83,688,400,52.8,30,1940-04-02
Netherlands,879,453,198,228,1841,1076,51.5,55,1905-04-30
Mexico,1004,515,231,258,1769,1054,51.3,61,1923-01-01
Ivory Coast,636,325,162,149,1042,634,51.1,9,1960-04-14
France,935,477,195,263,1715,1209,51.0,73,1904-05-01
Australia,581,296,123,162,1167,619,50.9,20,1922-06-17
Portugal,695,349,159,187,1227,778,50.2,35,1921-12-18
Egypt,756,379,185,192,1225,766,50.1,7,1920-08-28
Morocco,617,306,172,139,916,494,49.6,23,1958-04-03
Japan,790,390,165,235,1443,910,49.4,25,1917-05-07
Sweden,1101,541,233,327,2171,1421,49.1,51,1908-07-12
Uzbekistan,354,169,73,112,613,394,47.7,0,1992-06-17
Saudi Arabia,741,351,170,220,1138,777,47.4,19,1963-11-18
Scotland,851,402,182,267,1454,1050,47.2,23,1872-11-30
Senegal,638,298,169,171,882,599,46.7,12,1961-12-05
Algeria,617,288,162,167,953,613,46.7,13,1963-01-06
Iraq,655,304,188,163,1005,609,46.4,3,1960-06-05
Ghana,671,311,175,185,1052,700,46.3,15,1950-05-28
Belgium,853,382,181,290,1550,1290,44.8,51,1904-05-01
South Africa,481,215,145,121,650,456,44.7,10,1906-07-09
United States,791,352,161,278,1204,1049,44.5,38,1885-11-28
Uruguay,970,428,240,302,1534,1178,44.1,59,1902-07-20
Tunisia,678,296,189,193,974,690,43.7,18,1957-06-02
Austria,860,367,184,309,1541,1315,42.7,29,1902-10-12
Haiti,510,216,110,184,838,686,42.4,3,1925-03-22
New Zealand,416,172,73,171,729,624,41.3,6,1922-06-17
Qatar,635,260,155,220,895,767,40.9,3,1970-03-27
Colombia,638,258,176,204,823,736,40.4,22,1938-02-10
Turkey,642,259,152,231,899,904,40.3,10,1923-10-26
DR Congo,524,206,144,174,779,627,39.3,3,1948-05-25
Canada,470,179,109,182,609,613,38.1,7,1885-11-28
Cape Verde,235,89,56,90,258,265,37.9,0,1959-12-20
Norway,872,328,196,348,1351,1416,37.6,8,1908-07-12
Curaçao,385,143,100,142,635,608,37.1,0,1924-04-06
Jordan,485,180,134,171,619,541,37.1,0,1963-01-06
Bosnia and Herzegovina,284,104,68,112,389,389,36.6,4,1995-11-30
Switzerland,884,316,204,364,1320,1445,35.7,41,1905-02-12
Paraguay,784,275,208,301,1004,1117,35.1,28,1919-05-11
Panama,539,183,133,223,679,822,34.0,3,1938-02-12
Ecuador,591,183,157,251,717,903,31.0,13,1938-08-08
