rank,team,elo,form_ppg,form_gf,form_ga,last_played,elo_hist,player_adj
1,Spain,2243.5,2.3,2.65,0.95,2026-06-08,2215.5,28.0
2,Argentina,2188.0,2.35,2.25,0.45,2026-06-09,2185.6,2.4
3,France,2137.6,2.2,2.25,1.1,2026-06-08,2122.5,15.1
4,England,2105.1,2.45,2.35,0.4,2026-06-10,2089.6,15.5
5,Portugal,2072.0,2.2,2.4,1.0,2026-06-10,2044.0,28.0
6,Brazil,2059.5,1.85,1.9,1.0,2026-06-06,2064.1,-4.6
7,Colombia,2057.5,1.6,1.9,1.1,2026-06-07,2060.1,-2.6
8,Netherlands,2039.8,1.9,2.5,1.0,2026-06-08,2011.8,28.0
9,Germany,2021.3,2.25,2.6,1.0,2026-06-06,2008.1,13.2
10,Ecuador,2004.3,1.75,1.0,0.35,2026-06-07,2023.9,-19.6
11,Japan,2004.0,2.3,2.4,0.45,2026-05-31,1994.9,9.1
12,Norway,2001.1,2.3,2.95,0.85,2026-06-07,1973.1,28.0
13,Turkey,1985.4,2.25,2.1,1.1,2026-06-06,1968.9,16.5
14,Morocco,1980.2,2.5,2.05,0.35,2026-06-07,1988.5,-8.3
15,Croatia,1979.1,1.95,2.05,1.05,2026-06-07,1968.0,11.1
16,Belgium,1975.0,1.75,2.6,1.1,2026-06-06,1954.8,20.2
17,Mexico,1965.6,2.0,1.4,0.6,2026-06-11,1987.6,-22.0
18,Uruguay,1961.7,1.3,0.85,0.85,2026-03-31,1971.2,-9.5
19,Switzerland,1959.3,1.55,2.0,1.3,2026-06-06,1955.5,3.8
20,Austria,1907.9,2.0,2.25,0.75,2026-06-01,1890.6,17.3
21,Senegal,1907.2,2.25,2.35,0.75,2026-06-09,1909.7,-2.5
22,Australia,1904.2,1.75,1.45,0.85,2026-06-06,1901.7,2.5
23,South Korea,1904.0,2.15,1.85,1.0,2026-06-11,1904.5,-0.5
24,Iran,1899.0,2.05,1.85,0.75,2026-06-04,1896.5,2.5
25,United States,1875.2,1.6,1.85,1.6,2026-06-12,1888.8,-13.6
26,Algeria,1871.0,2.3,2.2,0.6,2026-06-10,1882.6,-11.6
27,Canada,1860.5,1.8,1.55,0.6,2026-06-12,1876.8,-16.3
28,Scotland,1846.4,1.6,1.7,1.2,2026-06-06,1847.0,-0.6
29,Paraguay,1845.2,1.65,1.25,1.0,2026-06-12,1863.4,-18.2
30,Panama,1843.1,1.85,1.85,1.15,2026-06-06,1850.0,-6.9
31,Ivory Coast,1812.5,2.1,1.8,0.5,2026-06-04,1815.2,-2.7
32,Uzbekistan,1811.7,1.7,1.25,0.8,2026-06-08,1822.2,-10.5
33,Egypt,1798.3,1.7,1.2,0.75,2026-06-06,1808.8,-10.5
34,Czech Republic,1786.3,1.95,2.0,1.05,2026-06-11,1780.3,6.0
35,Sweden,1773.6,1.7,2.15,1.45,2026-06-04,1771.9,1.7
36,Jordan,1766.3,1.25,1.5,1.5,2026-06-07,1774.4,-8.1
37,DR Congo,1750.5,1.95,1.35,0.65,2026-06-09,1760.9,-10.4
38,New Zealand,1743.7,1.3,2.15,1.25,2026-06-06,1731.6,12.1
39,Iraq,1731.0,1.55,1.0,1.1,2026-06-09,1738.2,-7.2
40,Tunisia,1722.7,1.65,1.65,1.05,2026-06-06,1735.4,-12.7
41,Haiti,1694.3,1.7,2.25,1.15,2026-06-05,1701.2,-6.9
42,Saudi Arabia,1676.4,1.4,1.05,1.15,2026-06-09,1695.1,-18.7
43,Bosnia and Herzegovina,1674.8,1.35,1.4,1.3,2026-06-12,1676.2,-1.4
44,South Africa,1640.3,1.75,1.4,0.8,2026-06-11,1656.9,-16.6
45,Cape Verde,1636.2,1.55,1.35,0.95,2026-06-06,1651.2,-15.0
46,Ghana,1615.4,1.15,1.35,1.15,2026-06-02,1624.0,-8.6
47,Curaçao,1602.7,1.65,2.0,1.05,2026-06-06,1604.2,-1.5
48,Qatar,1569.0,0.95,1.1,1.75,2026-06-06,1572.6,-3.6
